"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2006","12","12000","Florida","17,686,243","2,232,534","2,201,543","2,263,526","2,201,543 to 2,263,526","12.6","12.4","12.8","12.4 to 12.8","3,948,256","695,303","677,399","713,207","677,399 to 713,207","17.6","17.2","18.1","17.2 to 18.1","2,820,879","448,742","432,743","464,741","432,743 to 464,741","15.9","15.3","16.5","15.3 to 16.5","1,102,065","224,402","216,160","232,643","216,160 to 232,643","20.4","19.6","21.1","19.6 to 21.1","$45,494","$45,250","$45,739","$45,250 to $45,739"
"2005","12","12000","Florida","17,308,815","2,220,829","2,186,876","2,254,782","2,186,876 to 2,254,782","12.8","12.6","13.0","12.6 to 13.0","3,976,592","719,164","700,137","738,192","700,137 to 738,192","18.1","17.6","18.6","17.6 to 18.6","2,858,611","474,430","458,029","490,831","458,029 to 490,831","16.6","16.0","17.2","16.0 to 17.2","1,094,571","225,415","215,411","235,419","215,411 to 235,419","20.6","19.7","21.5","19.7 to 21.5","$42,437","$42,169","$42,705","$42,169 to $42,705"
"2004","12","12000","Florida","17,434,082","2,074,997","1,955,732","2,194,262","1,955,732 to 2,194,262","11.9","11.2","12.6","11.2 to 12.6","4,046,002","699,280","638,967","759,593","638,967 to 759,593","17.3","15.8","18.8","15.8 to 18.8","2,863,259","447,172","394,902","499,442","394,902 to 499,442","15.6","13.8","17.4","13.8 to 17.4","1,103,442","221,598","192,720","250,475","192,720 to 250,475","20.1","17.5","22.7","17.5 to 22.7","$40,900","$39,691","$42,109","$39,691 to $42,109"
"2003","12","12000","Florida","17,028,820","2,219,257","2,116,332","2,322,182","2,116,332 to 2,322,182","13.0","12.4","13.6","12.4 to 13.6","3,977,910","770,946","721,788","820,103","721,788 to 820,103","19.4","18.1","20.6","18.1 to 20.6","2,842,050","512,261","474,572","549,950","474,572 to 549,950","18.0","16.7","19.4","16.7 to 19.4","1,069,849","230,021","199,469","260,573","199,469 to 260,573","21.5","18.6","24.4","18.6 to 24.4","$38,985","$37,809","$40,160","$37,809 to $40,160"
"2002","12","12000","Florida","16,684,871","2,137,435","2,035,530","2,239,339","2,035,530 to 2,239,339","12.8","12.2","13.4","12.2 to 13.4","3,899,615","689,303","639,261","739,345","639,261 to 739,345","17.7","16.4","19.0","16.4 to 19.0","2,799,200","461,273","420,439","502,107","420,439 to 502,107","16.5","15.0","17.9","15.0 to 17.9","1,045,990","206,679","178,924","234,434","178,924 to 234,434","19.8","17.1","22.4","17.1 to 22.4","$38,226","$36,956","$39,495","$36,956 to $39,495"
"2001","12","12000","Florida","16,306,747","2,048,082","1,955,651","2,140,514","1,955,651 to 2,140,514","12.6","12.0","13.1","12.0 to 13.1","3,813,136","716,009","661,275","770,742","661,275 to 770,742","18.8","17.3","20.2","17.3 to 20.2","2,730,693","466,522","418,913","514,131","418,913 to 514,131","17.1","15.3","18.8","15.3 to 18.8","1,011,506","215,886","192,611","239,162","192,611 to 239,162","21.3","19.0","23.6","19.0 to 23.6","$37,319","$36,094","$38,543","$36,094 to $38,543"
"2000","12","12000","Florida","16,002,039","1,877,399","1,782,915","1,971,883","1,782,915 to 1,971,883","11.7","11.1","12.3","11.1 to 12.3","3,748,442","663,855","616,490","711,221","616,490 to 711,221","17.7","16.4","19.0","16.4 to 19.0","2,656,195","427,487","386,487","468,487","386,487 to 468,487","16.1","14.6","17.6","14.6 to 17.6","994,725","197,986","173,081","222,890","173,081 to 222,890","19.9","17.4","22.4","17.4 to 22.4","$38,784","$37,450","$40,118","$37,450 to $40,118"
"2012","13","13000","Georgia","9,652,654","1,852,459","1,826,052","1,878,866","1,826,052 to 1,878,866","19.2","18.9","19.5","18.9 to 19.5","2,460,958","672,149","655,922","688,376","655,922 to 688,376","27.3","26.6","28.0","26.6 to 28.0","1,789,034","457,339","443,269","471,409","443,269 to 471,409","25.6","24.8","26.4","24.8 to 26.4","664,623","207,316","199,216","215,416","199,216 to 215,416","31.2","30.0","32.4","30.0 to 32.4","$47,125","$46,750","$47,500","$46,750 to $47,500"
"2011","13","13000","Georgia","9,550,252","1,836,715","1,806,754","1,866,676","1,806,754 to 1,866,676","19.2","18.9","19.5","18.9 to 19.5","2,454,435","651,999","635,149","668,849","635,149 to 668,849","26.6","25.9","27.3","25.9 to 27.3","1,775,243","440,361","426,024","454,698","426,024 to 454,698","24.8","24.0","25.6","24.0 to 25.6","670,712","202,963","194,063","211,863","194,063 to 211,863","30.3","29.0","31.6","29.0 to 31.6","$45,886","$45,438","$46,334","$45,438 to $46,334"
"2010","13","13000","Georgia","9,446,940","1,698,004","1,670,505","1,725,503","1,670,505 to 1,725,503","18.0","17.7","18.3","17.7 to 18.3","2,452,922","613,581","600,100","627,062","600,100 to 627,062","25.0","24.5","25.5","24.5 to 25.5","1,770,652","406,975","395,681","418,269","395,681 to 418,269","23.0","22.4","23.6","22.4 to 23.6","673,318","197,978","190,997","204,959","190,997 to 204,959","29.4","28.4","30.4","28.4 to 30.4","$46,252","$45,792","$46,712","$45,792 to $46,712"
"2009","13","13000","Georgia","9,535,751","1,585,116","1,558,085","1,612,148","1,558,085 to 1,612,148","16.6","16.3","16.9","16.3 to 16.9","2,540,096","575,429","559,426","591,432","559,426 to 591,432","22.7","22.0","23.3","22.0 to 23.3","1,796,519","373,468","359,590","387,346","359,590 to 387,346","20.8","20.0","21.6","20.0 to 21.6","734,951","194,127","186,581","201,672","186,581 to 201,672","26.4","25.4","27.4","25.4 to 27.4","$47,469","$47,060","$47,877","$47,060 to $47,877"
"2008","13","13000","Georgia","9,417,950","1,388,959","1,365,387","1,412,531","1,365,387 to 1,412,531","14.7","14.5","15.0","14.5 to 15.0","2,509,412","507,967","493,949","521,985","493,949 to 521,985","20.2","19.7","20.8","19.7 to 20.8","1,773,602","324,953","312,919","336,987","312,919 to 336,987","18.3","17.6","19.0","17.6 to 19.0","725,014","172,745","165,386","180,105","165,386 to 180,105","23.8","22.8","24.8","22.8 to 24.8","$50,834","$50,429","$51,240","$50,429 to $51,240"
"2007","13","13000","Georgia","9,286,060","1,329,161","1,307,166","1,351,156","1,307,166 to 1,351,156","14.3","14.1","14.6","14.1 to 14.6","2,493,630","494,787","481,029","508,545","481,029 to 508,545","19.8","19.3","20.4","19.3 to 20.4","1,759,760","318,255","306,665","329,845","306,665 to 329,845","18.1","17.4","18.7","17.4 to 18.7","723,292","167,468","160,211","174,724","160,211 to 174,724","23.2","22.2","24.2","22.2 to 24.2","$49,080","$48,606","$49,553","$48,606 to $49,553"
"2006","13","13000","Georgia","9,082,634","1,340,255","1,318,908","1,361,603","1,318,908 to 1,361,603","14.8","14.5","15.0","14.5 to 15.0","2,405,520","489,021","477,056","500,985","477,056 to 500,985","20.3","19.8","20.8","19.8 to 20.8","1,701,478","316,838","306,642","327,034","306,642 to 327,034","18.6","18.0","19.2","18.0 to 19.2","687,794","157,983","151,740","164,226","151,740 to 164,226","23.0","22.1","23.9","22.1 to 23.9","$46,808","$46,417","$47,198","$46,417 to $47,198"
"2005","13","13000","Georgia","8,789,139","1,271,409","1,248,158","1,294,660","1,248,158 to 1,294,660","14.5","14.2","14.7","14.2 to 14.7","2,319,683","470,425","455,772","485,077","455,772 to 485,077","20.3","19.6","20.9","19.6 to 20.9","1,628,801","304,220","291,783","316,657","291,783 to 316,657","18.7","17.9","19.4","17.9 to 19.4","680,331","156,874","149,415","164,332","149,415 to 164,332","23.1","22.0","24.2","22.0 to 24.2","$45,564","$45,141","$45,987","$45,141 to $45,987"
"2004","13","13000","Georgia","8,874,406","1,217,686","1,135,221","1,300,151","1,135,221 to 1,300,151","13.7","12.8","14.7","12.8 to 14.7","2,357,015","457,793","416,464","499,122","416,464 to 499,122","19.4","17.7","21.2","17.7 to 21.2","1,642,778","296,706","261,126","332,286","261,126 to 332,286","18.1","15.9","20.2","15.9 to 20.2","689,298","148,061","127,354","168,769","127,354 to 168,769","21.5","18.5","24.5","18.5 to 24.5","$42,679","$41,216","$44,141","$41,216 to $44,141"
"2003","13","13000","Georgia","8,631,783","1,155,544","1,085,213","1,225,875","1,085,213 to 1,225,875","13.4","12.6","14.2","12.6 to 14.2","2,330,653","445,866","409,996","481,736","409,996 to 481,736","19.1","17.6","20.7","17.6 to 20.7","1,637,766","292,431","267,044","317,818","267,044 to 317,818","17.9","16.3","19.4","16.3 to 19.4","673,152","138,837","114,294","163,380","114,294 to 163,380","20.6","17.0","24.3","17.0 to 24.3","$42,421","$40,896","$43,945","$40,896 to $43,945"
"2002","13","13000","Georgia","8,498,449","1,107,209","1,036,343","1,178,075","1,036,343 to 1,178,075","13.0","12.2","13.9","12.2 to 13.9","2,291,448","407,585","372,080","443,089","372,080 to 443,089","17.8","16.2","19.3","16.2 to 19.3","1,610,843","267,401","239,136","295,666","239,136 to 295,666","16.6","14.8","18.4","14.8 to 18.4","659,791","128,835","107,930","149,741","107,930 to 149,741","19.5","16.4","22.7","16.4 to 22.7","$42,359","$40,549","$44,169","$40,549 to $44,169"
"2001","13","13000","Georgia","8,311,896","1,058,513","996,930","1,120,096","996,930 to 1,120,096","12.7","12.0","13.5","12.0 to 13.5","2,231,111","407,590","367,187","447,994","367,187 to 447,994","18.3","16.5","20.1","16.5 to 20.1","1,584,705","264,647","229,670","299,624","229,670 to 299,624","16.7","14.5","18.9","14.5 to 18.9","632,665","127,325","110,108","144,542","110,108 to 144,542","20.1","17.4","22.8","17.4 to 22.8","$42,006","$40,498","$43,515","$40,498 to $43,515"
"2000","13","13000","Georgia","8,201,336","1,006,329","949,062","1,063,596","949,062 to 1,063,596","12.3","11.6","13.0","11.6 to 13.0","2,206,525","386,095","354,910","417,280","354,910 to 417,280","17.5","16.1","18.9","16.1 to 18.9","1,565,715","252,326","226,453","278,199","226,453 to 278,199","16.1","14.5","17.8","14.5 to 17.8","617,656","118,328","100,988","135,667","100,988 to 135,667","19.2","16.4","22.0","16.4 to 22.0","$42,057","$40,200","$43,915","$40,200 to $43,915"
"2012","15","15000","Hawaii","1,356,821","159,988","153,828","166,148","153,828 to 166,148","11.8","11.3","12.3","11.3 to 12.3","299,357","51,557","48,450","54,664","48,450 to 54,664","17.2","16.2","18.2","16.2 to 18.2","209,093","33,910","31,241","36,579","31,241 to 36,579","16.2","14.9","17.5","14.9 to 17.5","88,165","16,088","14,543","17,633","14,543 to 17,633","18.2","16.4","20.0","16.4 to 20.0","$66,086","$64,683","$67,489","$64,683 to $67,489"
"2011","15","15000","Hawaii","1,338,541","161,606","154,618","168,594","154,618 to 168,594","12.1","11.6","12.6","11.6 to 12.6","299,285","50,172","46,733","53,611","46,733 to 53,611","16.8","15.7","17.9","15.7 to 17.9","211,461","33,653","30,731","36,575","30,731 to 36,575","15.9","14.5","17.3","14.5 to 17.3","86,708","15,204","13,295","17,113","13,295 to 17,113","17.5","15.3","19.7","15.3 to 19.7","$62,071","$61,102","$63,040","$61,102 to $63,040"
"2010","15","15000","Hawaii","1,326,381","146,923","140,582","153,264","140,582 to 153,264","11.1","10.6","11.6","10.6 to 11.6","297,073","43,595","40,209","46,981","40,209 to 46,981","14.7","13.6","15.8","13.6 to 15.8","210,148","27,307","24,374","30,240","24,374 to 30,240","13.0","11.6","14.4","11.6 to 14.4","84,864","14,535","12,873","16,197","12,873 to 16,197","17.1","15.1","19.1","15.1 to 19.1","$62,774","$61,500","$64,048","$61,500 to $64,048"
"2009","15","15000","Hawaii","1,264,182","131,896","125,676","138,116","125,676 to 138,116","10.4","9.9","10.9","9.9 to 10.9","286,128","39,214","36,312","42,115","36,312 to 42,115","13.7","12.7","14.7","12.7 to 14.7","197,254","25,040","22,668","27,412","22,668 to 27,412","12.7","11.5","13.9","11.5 to 13.9","87,446","12,815","11,236","14,395","11,236 to 14,395","14.7","12.8","16.5","12.8 to 16.5","$63,741","$62,422","$65,059","$62,422 to $65,059"
"2008","15","15000","Hawaii","1,260,600","116,618","110,491","122,744","110,491 to 122,744","9.3","8.8","9.7","8.8 to 9.7","281,497","30,728","27,911","33,544","27,911 to 33,544","10.9","9.9","11.9","9.9 to 11.9","194,028","18,001","15,575","20,427","15,575 to 20,427","9.3","8.0","10.5","8.0 to 10.5","86,054","11,250","9,803","12,696","9,803 to 12,696","13.1","11.4","14.8","11.4 to 14.8","$66,701","$65,063","$68,339","$65,063 to $68,339"
"2007","15","15000","Hawaii","1,254,861","106,232","101,569","110,894","101,569 to 110,894","8.5","8.1","8.8","8.1 to 8.8","282,748","30,618","27,922","33,315","27,922 to 33,315","10.8","9.9","11.8","9.9 to 11.8","196,237","18,364","16,106","20,622","16,106 to 20,622","9.4","8.2","10.5","8.2 to 10.5","85,454","10,932","9,494","12,371","9,494 to 12,371","12.8","11.1","14.5","11.1 to 14.5","$62,613","$61,100","$64,125","$61,100 to $64,125"
"2006","15","15000","Hawaii","1,252,102","117,811","112,601","123,021","112,601 to 123,021","9.4","9.0","9.8","9.0 to 9.8","292,476","34,462","31,744","37,181","31,744 to 37,181","11.8","10.9","12.7","10.9 to 12.7","204,359","21,325","18,997","23,653","18,997 to 23,653","10.4","9.3","11.6","9.3 to 11.6","85,849","11,171","9,779","12,562","9,779 to 12,562","13.0","11.4","14.6","11.4 to 14.6","$60,554","$59,522","$61,586","$59,522 to $61,586"
"2005","15","15000","Hawaii","1,233,775","121,756","116,646","126,866","116,646 to 126,866","9.9","9.5","10.3","9.5 to 10.3","294,090","36,870","33,836","39,904","33,836 to 39,904","12.5","11.5","13.6","11.5 to 13.6","203,313","23,729","21,286","26,172","21,286 to 26,172","11.7","10.5","12.9","10.5 to 12.9","89,142","11,405","9,808","13,002","9,808 to 13,002","12.8","11.0","14.6","11.0 to 14.6","$56,133","$54,631","$57,634","$54,631 to $57,634"
"2004","15","15000","Hawaii","1,245,729","112,437","101,112","123,762","101,112 to 123,762","9.0","8.1","9.9","8.1 to 9.9","297,605","32,217","26,712","37,722","26,712 to 37,722","10.8","9.0","12.7","9.0 to 12.7","204,760","19,121","14,739","23,503","14,739 to 23,503","9.3","7.2","11.5","7.2 to 11.5","88,762","11,386","8,229","14,544","8,229 to 14,544","12.8","9.3","16.4","9.3 to 16.4","$51,359","$48,942","$53,776","$48,942 to $53,776"
"2003","15","15000","Hawaii","1,233,307","133,365","124,791","141,939","124,791 to 141,939","10.8","10.1","11.5","10.1 to 11.5","295,934","43,261","39,267","47,256","39,267 to 47,256","14.6","13.3","16.0","13.3 to 16.0","204,600","26,720","24,075","29,365","24,075 to 29,365","13.1","11.8","14.4","11.8 to 14.4","86,368","14,631","11,694","17,569","11,694 to 17,569","16.9","13.5","20.3","13.5 to 20.3","$48,274","$46,063","$50,485","$46,063 to $50,485"
"2002","15","15000","Hawaii","1,228,918","134,683","126,296","143,070","126,296 to 143,070","11.0","10.3","11.6","10.3 to 11.6","293,428","42,078","38,109","46,046","38,109 to 46,046","14.3","13.0","15.7","13.0 to 15.7","204,093","27,134","23,996","30,272","23,996 to 30,272","13.3","11.8","14.8","11.8 to 14.8","83,597","13,053","10,617","15,489","10,617 to 15,489","15.6","12.7","18.5","12.7 to 18.5","$47,424","$45,062","$49,786","$45,062 to $49,786"
"2001","15","15000","Hawaii","1,204,882","125,890","118,422","133,358","118,422 to 133,358","10.4","9.8","11.1","9.8 to 11.1","286,478","42,420","37,576","47,263","37,576 to 47,263","14.8","13.1","16.5","13.1 to 16.5","207,782","26,946","22,727","31,165","22,727 to 31,165","13.0","10.9","15.0","10.9 to 15.0","74,943","13,359","11,375","15,344","11,375 to 15,344","17.8","15.2","20.5","15.2 to 20.5","$46,535","$44,272","$48,799","$44,272 to $48,799"
"2000","15","15000","Hawaii","1,191,305","118,357","110,771","125,944","110,771 to 125,944","9.9","9.3","10.6","9.3 to 10.6","286,417","41,074","37,143","45,005","37,143 to 45,005","14.3","13.0","15.7","13.0 to 15.7","204,704","25,969","22,730","29,208","22,730 to 29,208","12.7","11.1","14.3","11.1 to 14.3","76,159","12,954","10,690","15,218","10,690 to 15,218","17.0","14.0","20.0","14.0 to 20.0","$49,005","$46,370","$51,640","$46,370 to $51,640"
"2012","16","16000","Idaho","1,565,489","250,203","242,232","258,174","242,232 to 258,174","16.0","15.5","16.5","15.5 to 16.5","420,753","89,672","85,260","94,084","85,260 to 94,084","21.3","20.3","22.3","20.3 to 22.3","304,826","59,158","55,230","63,086","55,230 to 63,086","19.4","18.1","20.7","18.1 to 20.7","114,062","28,783","26,880","30,686","26,880 to 30,686","25.2","23.5","26.9","23.5 to 26.9","$45,296","$44,435","$46,157","$44,435 to $46,157"
"2011","16","16000","Idaho","1,550,079","256,257","248,124","264,390","248,124 to 264,390","16.5","16.0","17.0","16.0 to 17.0","416,976","89,007","84,616","93,398","84,616 to 93,398","21.3","20.2","22.4","20.2 to 22.4","298,517","57,242","53,399","61,085","53,399 to 61,085","19.2","17.9","20.5","17.9 to 20.5","115,727","29,351","27,053","31,649","27,053 to 31,649","25.4","23.4","27.4","23.4 to 27.4","$43,345","$42,213","$44,477","$42,213 to $44,477"
"2010","16","16000","Idaho","1,541,857","244,009","236,574","251,444","236,574 to 251,444","15.8","15.3","16.3","15.3 to 16.3","423,490","83,752","79,791","87,713","79,791 to 87,713","19.8","18.9","20.7","18.9 to 20.7","301,687","51,930","48,574","55,286","48,574 to 55,286","17.2","16.1","18.3","16.1 to 18.3","119,886","30,059","27,951","32,167","27,951 to 32,167","25.1","23.3","26.9","23.3 to 26.9","$43,259","$42,380","$44,138","$42,380 to $44,138"
"2009","16","16000","Idaho","1,511,955","217,528","209,865","225,192","209,865 to 225,192","14.4","13.9","14.9","13.9 to 14.9","413,595","76,630","72,538","80,723","72,538 to 80,723","18.5","17.5","19.5","17.5 to 19.5","288,326","47,402","43,954","50,850","43,954 to 50,850","16.4","15.2","17.6","15.2 to 17.6","123,377","27,308","25,112","29,504","25,112 to 29,504","22.1","20.4","23.9","20.4 to 23.9","$44,644","$43,785","$45,504","$43,785 to $45,504"
"2008","16","16000","Idaho","1,489,050","186,015","178,723","193,306","178,723 to 193,306","12.5","12.0","13.0","12.0 to 13.0","406,334","64,361","60,642","68,081","60,642 to 68,081","15.8","14.9","16.8","14.9 to 16.8","283,097","37,696","34,449","40,943","34,449 to 40,943","13.3","12.2","14.5","12.2 to 14.5","119,637","23,738","21,899","25,578","21,899 to 25,578","19.8","18.3","21.4","18.3 to 21.4","$47,561","$46,654","$48,467","$46,654 to $48,467"
"2007","16","16000","Idaho","1,464,464","177,830","172,138","183,522","172,138 to 183,522","12.1","11.8","12.5","11.8 to 12.5","400,558","63,568","60,029","67,106","60,029 to 67,106","15.9","15.0","16.8","15.0 to 16.8","281,584","39,046","35,892","42,200","35,892 to 42,200","13.9","12.7","15.0","12.7 to 15.0","116,544","22,306","20,643","23,969","20,643 to 23,969","19.1","17.7","20.6","17.7 to 20.6","$46,136","$45,434","$46,838","$45,434 to $46,838"
"2006","16","16000","Idaho","1,431,508","182,933","177,567","188,299","177,567 to 188,299","12.8","12.4","13.2","12.4 to 13.2","387,232","61,771","58,540","65,002","58,540 to 65,002","16.0","15.1","16.8","15.1 to 16.8","273,619","37,915","35,165","40,665","35,165 to 40,665","13.9","12.9","14.9","12.9 to 14.9","110,881","21,276","19,625","22,926","19,625 to 22,926","19.2","17.7","20.7","17.7 to 20.7","$42,846","$42,066","$43,625","$42,066 to $43,625"
"2005","16","16000","Idaho","1,388,737","186,454","180,470","192,438","180,470 to 192,438","13.4","13.0","13.9","13.0 to 13.9","365,660","62,934","59,594","66,274","59,594 to 66,274","17.2","16.3","18.1","16.3 to 18.1","259,953","39,106","36,286","41,926","36,286 to 41,926","15.0","14.0","16.1","14.0 to 16.1","103,647","21,806","20,193","23,420","20,193 to 23,420","21.0","19.5","22.6","19.5 to 22.6","$41,269","$40,513","$42,024","$40,513 to $42,024"
"2004","16","16000","Idaho","1,403,100","160,788","147,244","174,332","147,244 to 174,332","11.5","10.5","12.4","10.5 to 12.4","373,725","56,562","49,918","63,206","49,918 to 63,206","15.1","13.4","16.9","13.4 to 16.9","262,564","33,487","27,656","39,318","27,656 to 39,318","12.8","10.5","15.0","10.5 to 15.0","105,617","20,202","16,937","23,468","16,937 to 23,468","19.1","16.0","22.2","16.0 to 22.2","$40,509","$38,855","$42,163","$38,855 to $42,163"
"2003","16","16000","Idaho","1,365,507","160,019","150,088","169,950","150,088 to 169,950","11.7","11.0","12.4","11.0 to 12.4","370,512","58,905","53,458","64,352","53,458 to 64,352","15.9","14.4","17.4","14.4 to 17.4","263,016","35,921","31,919","39,923","31,919 to 39,923","13.7","12.1","15.2","12.1 to 15.2","101,548","20,407","16,806","24,008","16,806 to 24,008","20.1","16.5","23.6","16.5 to 23.6","$39,859","$38,318","$41,401","$38,318 to $41,401"
"2002","16","16000","Idaho","1,340,189","156,519","146,860","166,178","146,860 to 166,178","11.7","11.0","12.4","11.0 to 12.4","369,225","54,964","49,680","60,249","49,680 to 60,249","14.9","13.5","16.3","13.5 to 16.3","263,122","33,780","29,426","38,134","29,426 to 38,134","12.8","11.2","14.5","11.2 to 14.5","99,444","19,172","16,178","22,166","16,178 to 22,166","19.3","16.3","22.3","16.3 to 22.3","$38,242","$36,530","$39,953","$36,530 to $39,953"
"2001","16","16000","Idaho","1,314,960","151,614","143,103","160,124","143,103 to 160,124","11.5","10.9","12.2","10.9 to 12.2","369,614","56,327","50,046","62,609","50,046 to 62,609","15.2","13.5","16.9","13.5 to 16.9","262,217","33,977","28,465","39,489","28,465 to 39,489","13.0","10.9","15.1","10.9 to 15.1","99,554","19,123","16,719","21,526","16,719 to 21,526","19.2","16.8","21.6","16.8 to 21.6","$38,459","$37,041","$39,877","$37,041 to $39,877"
"2000","16","16000","Idaho","1,293,002","145,043","136,620","153,467","136,620 to 153,467","11.2","10.6","11.9","10.6 to 11.9","367,412","55,830","50,519","61,142","50,519 to 61,142","15.2","13.7","16.6","13.7 to 16.6","260,373","33,578","29,021","38,135","29,021 to 38,135","12.9","11.1","14.6","11.1 to 14.6","98,880","19,048","16,428","21,667","16,428 to 21,667","19.3","16.6","21.9","16.6 to 21.9","$37,929","$36,158","$39,699","$36,158 to $39,699"
"2012","17","17000","Illinois","12,573,692","1,847,371","1,823,585","1,871,157","1,823,585 to 1,871,157","14.7","14.5","14.9","14.5 to 14.9","3,019,220","621,972","606,995","636,949","606,995 to 636,949","20.6","20.1","21.1","20.1 to 21.1","2,207,600","425,733","412,185","439,281","412,185 to 439,281","19.3","18.7","19.9","18.7 to 19.9","800,678","186,178","180,107","192,249","180,107 to 192,249","23.3","22.5","24.1","22.5 to 24.1","$55,126","$54,725","$55,527","$54,725 to $55,527"
"2011","17","17000","Illinois","12,566,914","1,871,484","1,845,497","1,897,471","1,845,497 to 1,897,471","14.9","14.7","15.1","14.7 to 15.1","3,055,200","651,430","636,157","666,703","636,157 to 666,703","21.3","20.8","21.8","20.8 to 21.8","2,231,514","443,273","430,016","456,530","430,016 to 456,530","19.9","19.3","20.5","19.3 to 20.5","812,299","198,619","191,172","206,066","191,172 to 206,066","24.5","23.6","25.4","23.6 to 25.4","$53,271","$52,773","$53,769","$52,773 to $53,769"
"2010","17","17000","Illinois","12,543,476","1,732,129","1,707,831","1,756,427","1,707,831 to 1,756,427","13.8","13.6","14.0","13.6 to 14.0","3,085,434","599,714","585,217","614,211","585,217 to 614,211","19.4","18.9","19.9","18.9 to 19.9","2,255,338","408,636","395,855","421,417","395,855 to 421,417","18.1","17.5","18.7","17.5 to 18.7","820,181","181,600","174,555","188,645","174,555 to 188,645","22.1","21.2","23.0","21.2 to 23.0","$52,967","$52,541","$53,393","$52,541 to $53,393"
"2009","17","17000","Illinois","12,574,339","1,671,343","1,642,933","1,699,754","1,642,933 to 1,699,754","13.3","13.1","13.5","13.1 to 13.5","3,132,264","586,040","569,067","603,014","569,067 to 603,014","18.7","18.2","19.3","18.2 to 19.3","2,242,179","392,427","377,672","407,182","377,672 to 407,182","17.5","16.8","18.2","16.8 to 18.2","878,839","183,410","175,761","191,060","175,761 to 191,060","20.9","20.0","21.7","20.0 to 21.7","$53,974","$53,579","$54,368","$53,579 to $54,368"
"2008","17","17000","Illinois","12,568,180","1,529,235","1,507,151","1,551,320","1,507,151 to 1,551,320","12.2","12.0","12.3","12.0 to 12.3","3,138,292","531,774","518,602","544,945","518,602 to 544,945","16.9","16.5","17.4","16.5 to 17.4","2,247,582","345,496","334,386","356,606","334,386 to 356,606","15.4","14.9","15.9","14.9 to 15.9","880,425","176,645","169,560","183,730","169,560 to 183,730","20.1","19.3","20.9","19.3 to 20.9","$56,230","$55,869","$56,590","$55,869 to $56,590"
"2007","17","17000","Illinois","12,541,197","1,496,152","1,472,155","1,520,149","1,472,155 to 1,520,149","11.9","11.7","12.1","11.7 to 12.1","3,158,197","524,318","508,387","540,250","508,387 to 540,250","16.6","16.1","17.1","16.1 to 17.1","2,264,334","348,638","334,986","362,290","334,986 to 362,290","15.4","14.8","16.0","14.8 to 16.0","877,385","161,574","153,677","169,472","153,677 to 169,472","18.4","17.5","19.3","17.5 to 19.3","$54,141","$53,778","$54,504","$53,778 to $54,504"
"2006","17","17000","Illinois","12,516,474","1,536,133","1,513,055","1,559,212","1,513,055 to 1,559,212","12.3","12.1","12.5","12.1 to 12.5","3,172,098","539,870","525,441","554,299","525,441 to 554,299","17.0","16.6","17.5","16.6 to 17.5","2,283,673","359,381","346,729","372,033","346,729 to 372,033","15.7","15.2","16.3","15.2 to 16.3","875,177","168,290","161,398","175,182","161,398 to 175,182","19.2","18.4","20.0","18.4 to 20.0","$52,012","$51,741","$52,282","$51,741 to $52,282"
"2005","17","17000","Illinois","12,400,423","1,484,992","1,458,942","1,511,042","1,458,942 to 1,511,042","12.0","11.8","12.2","11.8 to 12.2","3,188,914","524,897","509,022","540,772","509,022 to 540,772","16.5","16.0","17.0","16.0 to 17.0","2,289,880","341,763","329,036","354,490","329,036 to 354,490","14.9","14.4","15.5","14.4 to 15.5","887,240","172,082","162,933","181,232","162,933 to 181,232","19.4","18.4","20.4","18.4 to 20.4","$50,270","$49,940","$50,601","$49,940 to $50,601"
