academicyear,state,adj_avg_tuition,adj_aid,adj_other_src,tuition_reliance_a2,pc_on_loan
2000,NV,6279.8799763732995,46291258.85847606,4688592.397415828,0.1622515744490615,0.14486646884272994
2000,NY,7244.981393975188,40160742.813452445,42002679.79091848,0.23185844131882152,0.24261801245798584
2000,OH,8197.98544004725,48859247.34029961,98097550.17644039,0.30752105433806104,0.4529497857427678
2000,OK,3764.787557053105,16754014.096958058,4170935.4524734183,0.16554375932043075,0.37742210635192763
2000,OR,7973.175952451267,31648387.31061724,2845782.9903721195,0.22580531377371968,0.5018110530246452
2000,PA,9060.140597963931,52616924.85592055,83975229.65042908,0.35740302343987573,0.4936994000110089
2000,PR,2888.247452746603,161830267.63325453,26899180.361075006,0.45178067075801437,0.02617794122391045
2000,RI,10056.94819846426,69876950.33939749,14506030.785646776,0.27734317098085304,0.69
2000,SC,6929.508827525101,17757158.81532513,2396073.956969875,0.288856418671705,0.425975945125806
2000,SD,5246.8988629651485,12073514.841095682,1250469.6749999996,0.1992451294976615,0.5731330017987515
2000,TN,6443.866568222089,22119482.658668038,2550683.517705256,0.27069410648176495,0.23448403471426232
2000,TX,5307.161695215592,60193652.367229015,63529034.017457895,0.23317433084691874,0.31518719635901726
2000,UT,4722.545014766685,30399030.59379798,6650062.233490842,0.23679727064729522,0.15232101544425689
2000,VA,8079.095160956877,34575174.3007531,69612525.58925278,0.2099253108226197,0.43738850701127296
2000,VI,6613.22976963969,11943608.56107501,311448.17418783216,0.13930238063725198,0.16999999999999998
2000,VT,13815.198287064377,35918488.61393974,21456473.44252805,0.427662517234573,0.6265400202634246
2000,WA,8760.849254282335,130166194.73629646,104902809.08013879,0.24458180775453017,0.38715058084313586
2000,WI,8543.310409171452,50783134.49219512,10977045.561040107,0.2572108753552303,0.39589728133100255
2000,WV,3921.0845498270173,19119313.684908442,3120134.3047331176,0.25932916013653357,0.3848543324353111
2000,WY,6250.30862374483,32958912.370348483,7875649.631482572,0.136759940069408,0.37
2001,AK,6394.1736150770985,106140058.93089662,22333439.639862936,0.11245264949761902,0.33999999999999997
2001,AL,6003.92397201599,59385611.784323245,111176511.22221588,0.22938222377111048,0.4088961807584543
2001,AR,5030.213206739007,14259657.4633745,4019521.4987852927,0.18174174793003825,0.3015974976142508
2001,AZ,6296.7014563106795,221051873.96162194,30056539.28586611,0.176551527897913,0.29
2001,CA,5347.1158708011,102315717.81041354,101606165.92252737,0.16052236930481645,0.3233247614875553
2001,CO,7295.791083666476,73083657.58928327,15868971.313252429,0.2802460673470135,0.34066296410136837
2001,CT,7239.907045973729,35519874.21326385,102469664.21556252,0.27025777979803356,0.47950185493155945
2001,DC,4054.8418046830384,14288779.057795545,2620882.5777948317,0.22718291367487098,0.35
2001,DE,11547.201741861792,79826547.72952598,17976645.982495718,0.344243114734233,0.62
2001,FL,6014.032195888064,63133961.92294014,19890137.644932766,0.13852501206195206,0.3061146806998713
2001,GA,6260.126189116424,28610073.43529615,4645233.44654719,0.19479262050042184,0.3536008210436204
2001,IA,8015.243917761279,128739442.90836664,298023537.10613936,0.159338915168756,0.47464283058158563
2001,ID,3976.864077669903,34491383.73375215,11273832.625014277,0.1941252824015465,0.5109988695920256
2001,IL,6423.415262707025,87769243.01121502,83404762.2120467,0.21267455338577826,0.4098317776333668
